date,region,cases,recovered,deceased,population,active,active_per_10k,deceased_per_million,suceptible,removed
7/20/2020,La Paz,10190,821,169,2926996,9200,31.43154278,57.7383775,2916806,990
7/19/2020,La Paz,9655,797,162,2926996,8696,29.70964087,55.34684707,2917341,959
7/18/2020,La Paz,8922,742,157,2926996,8023,27.41035519,53.63861105,2918074,899
7/17/2020,La Paz,8209,704,155,2926996,7350,25.11106951,52.95531665,2918787,859
7/16/2020,La Paz,7976,636,145,2926996,7195,24.58151634,49.5388446,2919020,781
7/15/2020,La Paz,7662,625,139,2926996,6898,23.56682414,47.48896138,2919334,764
7/14/2020,La Paz,7402,594,134,2926996,6674,22.80153441,45.78072536,2919594,728
7/13/2020,La Paz,7124,561,133,2926996,6430,21.96791523,45.43907815,2919872,694
7/12/2020,La Paz,6703,533,131,2926996,6039,20.63207466,44.75578375,2920293,664
7/11/2020,La Paz,6366,496,127,2926996,5743,19.62079894,43.38919493,2920630,623
7/10/2020,La Paz,5704,464,116,2926996,5124,17.50600274,39.63107568,2921292,580
7/9/2020,La Paz,5376,433,114,2926996,4829,16.49814349,38.94778127,2921620,547
7/8/2020,La Paz,5151,430,110,2926996,4611,15.75335258,37.58119246,2921845,540
7/7/2020,La Paz,4876,425,109,2926996,4342,14.8343216,37.23954525,2922120,534
7/6/2020,La Paz,4685,418,107,2926996,4160,14.21252369,36.55625085,2922311,525
7/5/2020,La Paz,4205,411,107,2926996,3687,12.59653242,36.55625085,2922791,518
7/4/2020,La Paz,3872,400,100,2926996,3372,11.52034372,34.16472042,2923124,500
7/3/2020,La Paz,3634,396,93,2926996,3145,10.74480457,31.77318999,2923362,489
7/2/2020,La Paz,3397,394,93,2926996,2910,9.941933641,31.77318999,2923599,487
7/1/2020,La Paz,3241,394,84,2926996,2763,9.439712251,28.69836515,2923755,478
6/30/2020,La Paz,3029,391,82,2926996,2556,8.732502538,28.01507074,2923967,473
6/29/2020,La Paz,2967,388,82,2926996,2497,8.530930688,28.01507074,2924029,470
6/28/2020,La Paz,2882,382,76,2926996,2424,8.281528229,25.96518752,2924114,458
6/27/2020,La Paz,2774,376,74,2926996,2324,7.939881025,25.28189311,2924222,450
6/26/2020,La Paz,2580,368,69,2926996,2143,7.321499585,23.57365709,2924416,437
6/25/2020,La Paz,2373,365,68,2926996,1940,6.627955761,23.23200988,2924623,433
6/24/2020,La Paz,2161,360,65,2926996,1736,5.930995464,22.20706827,2924835,425
6/23/2020,La Paz,1966,351,64,2926996,1551,5.298948137,21.86542107,2925030,415
6/22/2020,La Paz,1918,351,63,2926996,1504,5.138373951,21.52377386,2925078,414
6/21/2020,La Paz,1780,345,63,2926996,1372,4.687399641,21.52377386,2925216,408
6/20/2020,La Paz,1545,332,55,2926996,1158,3.956274624,18.79059623,2925451,387
6/19/2020,La Paz,1469,332,54,2926996,1083,3.700039221,18.44894902,2925527,386
6/18/2020,La Paz,1386,330,53,2926996,1003,3.426721458,18.10730182,2925610,383
6/17/2020,La Paz,1298,324,51,2926996,923,3.153403694,17.42400741,2925698,375
6/16/2020,La Paz,1254,322,50,2926996,882,3.013328341,17.08236021,2925742,372
6/15/2020,La Paz,1213,322,50,2926996,841,2.873252987,17.08236021,2925783,372
6/14/2020,La Paz,1149,314,49,2926996,786,2.685347025,16.740713,2925847,363
6/13/2020,La Paz,1064,304,45,2926996,715,2.44277751,15.37412419,2925932,349
6/12/2020,La Paz,983,291,43,2926996,649,2.217290355,14.69082978,2926013,334
6/11/2020,La Paz,932,289,42,2926996,601,2.053299697,14.34918257,2926064,331
6/10/2020,La Paz,842,285,40,2926996,517,1.766316046,13.66588817,2926154,325
6/9/2020,La Paz,804,276,38,2926996,490,1.6740713,12.98259376,2926192,314
6/8/2020,La Paz,754,272,38,2926996,444,1.516913586,12.98259376,2926242,310
6/7/2020,La Paz,754,272,38,2926996,444,1.516913586,12.98259376,2926242,310
6/6/2020,La Paz,737,269,38,2926996,430,1.469082978,12.98259376,2926259,307
6/5/2020,La Paz,692,263,38,2926996,391,1.335840568,12.98259376,2926304,301
6/4/2020,La Paz,661,254,36,2926996,371,1.267511127,12.29929935,2926335,290
6/3/2020,La Paz,635,251,35,2926996,349,1.192348743,11.95765215,2926361,286
6/2/2020,La Paz,614,249,32,2926996,333,1.13768519,10.93271053,2926382,281
6/1/2020,La Paz,555,248,31,2926996,276,0.942946283,10.59106333,2926441,279
5/31/2020,La Paz,507,244,28,2926996,235,0.80287093,9.566121717,2926489,272
5/30/2020,La Paz,478,242,28,2926996,208,0.710626185,9.566121717,2926518,270
5/29/2020,La Paz,444,237,27,2926996,180,0.614964967,9.224474512,2926552,264
5/28/2020,La Paz,423,234,26,2926996,163,0.556884943,8.882827308,2926573,260
5/27/2020,La Paz,415,228,24,2926996,163,0.556884943,8.1995329,2926581,252
5/26/2020,La Paz,410,219,24,2926996,167,0.570550831,8.1995329,2926586,243
5/25/2020,La Paz,403,210,24,2926996,169,0.577383775,8.1995329,2926593,234
5/24/2020,La Paz,394,209,24,2926996,161,0.550051999,8.1995329,2926602,233
5/23/2020,La Paz,386,201,24,2926996,161,0.550051999,8.1995329,2926610,225
5/22/2020,La Paz,381,184,23,2926996,174,0.594466135,7.857885696,2926615,207
5/21/2020,La Paz,375,181,22,2926996,172,0.587633191,7.516238492,2926621,203
5/20/2020,La Paz,363,180,21,2926996,162,0.553468471,7.174591287,2926633,201
5/19/2020,La Paz,355,174,21,2926996,160,0.546635527,7.174591287,2926641,195
5/18/2020,La Paz,342,171,20,2926996,151,0.515887278,6.832944083,2926654,191
5/17/2020,La Paz,335,166,19,2926996,150,0.512470806,6.491296879,2926661,185
5/16/2020,La Paz,333,157,19,2926996,157,0.536386111,6.491296879,2926663,176
5/15/2020,La Paz,328,123,19,2926996,186,0.6354638,6.491296879,2926668,142
5/14/2020,La Paz,322,101,19,2926996,202,0.690127352,6.491296879,2926674,120
5/13/2020,La Paz,319,93,19,2926996,207,0.707209713,6.491296879,2926677,112
5/12/2020,La Paz,316,76,17,2926996,223,0.761873265,5.808002471,2926680,93
5/11/2020,La Paz,313,68,17,2926996,228,0.778955625,5.808002471,2926683,85
5/10/2020,La Paz,309,67,16,2926996,226,0.772122681,5.466355267,2926687,83
5/9/2020,La Paz,301,63,16,2926996,222,0.758456793,5.466355267,2926695,79
5/8/2020,La Paz,294,55,16,2926996,223,0.761873265,5.466355267,2926702,71
5/7/2020,La Paz,271,49,16,2926996,206,0.703793241,5.466355267,2926725,65
5/6/2020,La Paz,260,49,16,2926996,195,0.666212048,5.466355267,2926736,65
5/5/2020,La Paz,253,46,16,2926996,191,0.65254616,5.466355267,2926743,62
5/4/2020,La Paz,243,45,15,2926996,183,0.625214384,5.124708062,2926753,60
5/3/2020,La Paz,241,38,15,2926996,188,0.642296744,5.124708062,2926755,53
5/2/2020,La Paz,236,34,15,2926996,187,0.638880272,5.124708062,2926760,49
5/1/2020,La Paz,221,27,15,2926996,179,0.611548495,5.124708062,2926775,42
4/30/2020,La Paz,218,27,15,2926996,176,0.601299079,5.124708062,2926778,42
4/29/2020,La Paz,202,26,15,2926996,161,0.550051999,5.124708062,2926794,41
4/28/2020,La Paz,188,26,15,2926996,147,0.50222139,5.124708062,2926808,41
4/27/2020,La Paz,185,19,15,2926996,151,0.515887278,5.124708062,2926811,34
4/26/2020,La Paz,168,16,15,2926996,137,0.46805667,5.124708062,2926828,31
4/25/2020,La Paz,159,13,15,2926996,131,0.447557837,5.124708062,2926837,28
4/24/2020,La Paz,155,13,14,2926996,128,0.437308421,4.783060858,2926841,27
